asset_id,event_id,split,case_type,local_path,source_id,source_url,license_status,media_type,annotation_mode,labels,has_bbox,has_region,has_sequence,can_train,can_show_customer,notes
outdoor_garbage_001,overflow_pileup,candidate,positive,train_model/work/images/1.jpg,unique_outdoor_garbage,https://huggingface.co/datasets/UniqueData/outdoor_garbage,check_dataset_card_before_customer_delivery,image,event_state,is_full,false,false,false,true,true,真实标注图像级满溢/散落状态样本
outdoor_garbage_002,overflow_pileup,candidate,positive,train_model/work/images/10.jpg,unique_outdoor_garbage,https://huggingface.co/datasets/UniqueData/outdoor_garbage,check_dataset_card_before_customer_delivery,image,event_state,is_full,false,false,false,true,true,真实标注图像级满溢/散落状态样本
outdoor_garbage_004,overflow_pileup,candidate,positive,train_model/work/images/101.jpg,unique_outdoor_garbage,https://huggingface.co/datasets/UniqueData/outdoor_garbage,check_dataset_card_before_customer_delivery,image,event_state,is_empty;is_scattered,false,false,false,true,true,真实标注图像级满溢/散落状态样本
outdoor_garbage_006,overflow_pileup,candidate,positive,train_model/work/images/103.jpg,unique_outdoor_garbage,https://huggingface.co/datasets/UniqueData/outdoor_garbage,check_dataset_card_before_customer_delivery,image,event_state,is_empty;is_scattered,false,false,false,true,true,真实标注图像级满溢/散落状态样本
outdoor_garbage_007,overflow_pileup,candidate,positive,train_model/work/images/104.jpg,unique_outdoor_garbage,https://huggingface.co/datasets/UniqueData/outdoor_garbage,check_dataset_card_before_customer_delivery,image,event_state,is_full,false,false,false,true,true,真实标注图像级满溢/散落状态样本
outdoor_garbage_008,overflow_pileup,candidate,positive,train_model/work/images/105.jpg,unique_outdoor_garbage,https://huggingface.co/datasets/UniqueData/outdoor_garbage,check_dataset_card_before_customer_delivery,image,event_state,is_full,false,false,false,true,true,真实标注图像级满溢/散落状态样本
outdoor_garbage_009,overflow_pileup,candidate,positive,train_model/work/images/106.jpg,unique_outdoor_garbage,https://huggingface.co/datasets/UniqueData/outdoor_garbage,check_dataset_card_before_customer_delivery,image,event_state,is_full,false,false,false,true,true,真实标注图像级满溢/散落状态样本
outdoor_garbage_010,overflow_pileup,candidate,positive,train_model/work/images/107.jpg,unique_outdoor_garbage,https://huggingface.co/datasets/UniqueData/outdoor_garbage,check_dataset_card_before_customer_delivery,image,event_state,is_full;is_scattered,false,false,false,true,true,真实标注图像级满溢/散落状态样本
outdoor_garbage_011,overflow_pileup,candidate,positive,train_model/work/images/108.jpg,unique_outdoor_garbage,https://huggingface.co/datasets/UniqueData/outdoor_garbage,check_dataset_card_before_customer_delivery,image,event_state,is_full,false,false,false,true,true,真实标注图像级满溢/散落状态样本
outdoor_garbage_012,overflow_pileup,candidate,positive,train_model/work/images/109.jpg,unique_outdoor_garbage,https://huggingface.co/datasets/UniqueData/outdoor_garbage,check_dataset_card_before_customer_delivery,image,event_state,is_full;is_scattered,false,false,false,true,true,真实标注图像级满溢/散落状态样本
